PS1,PS2,PS3,PS4,PS5,PS6,VS1,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,SE,CE,CP,CoolerCondition,ValveCondition,PumpLeakage,HydraulicAccumulator,Stable
191.51,156.99,10.039,0.0,10.016,9.887,0.624,2951.6,18.71,10.446,36.152,41.25,38.613,33.594,79.568,47.438,2.188,3,100,0,130,1
191.47,157.56,9.992,0.0,9.745,9.637,0.626,2947.4,18.712,10.453,37.488,42.105,39.254,35.148,80.441,29.208000000000002,1.4140000000000001,3,100,0,130,1
191.41,156.97,10.914000000000001,0.0,9.64,9.536,0.662,2939.8,18.698,10.443,38.621,43.038999999999994,40.062,36.141,80.824,23.554000000000002,1.159,3,100,0,130,1
191.34,156.44,10.297,0.0,9.535,9.431000000000001,0.645,2929.6,18.896,10.382,39.473,43.988,40.934,36.988,80.93,21.565,1.107,3,100,0,130,1
191.41,158.13,11.102,0.0,9.443,9.342,0.66,2923.8,18.875999999999998,10.312000000000001,40.391,44.887,41.777,37.781,81.1,20.46,1.1059999999999999,3,100,0,130,1
191.28,156.55,11.453,0.0,9.381,9.287,0.643,2920.6,18.96,10.255999999999998,41.227,45.687,42.608999999999995,38.586,80.946,19.651,1.109,3,100,0,130,1
191.19,155.04,10.312000000000001,0.0,9.302,9.208,0.649,2921.6,19.208,10.2,42.062,46.457,43.203,39.242,80.848,19.415,1.11,3,100,0,130,1
191.17,159.09,10.398,0.0,9.26,9.172,0.669,2913.0,19.333,10.156,42.733999999999995,47.117,43.875,39.828,81.01,18.788,1.105,3,100,0,130,1
191.14,167.22,10.789000000000001,0.0,9.206,9.119,0.65,2909.4,19.577,10.097999999999999,43.41,47.788999999999994,44.457,40.402,81.186,19.081,1.168,3,100,0,130,1
191.16,162.14,10.758,0.0,9.173,9.087,0.653,2905.4,19.432000000000002,10.052999999999999,44.012,48.422,45.129,40.918,80.907,18.746,1.163,3,100,0,130,1
191.16,160.94,10.617,0.0,9.148,9.08,0.657,2905.4,19.415,10.029,44.582,48.983999999999995,45.668,41.336000000000006,80.73100000000001,18.665,1.18,3,100,0,130,1
191.06,164.73,10.617,0.0,9.087,9.009,0.662,2899.4,19.707,9.978,45.09,49.508,46.141000000000005,41.82,80.972,18.533,1.203,3,100,0,130,1
191.08,163.84,10.398,0.0,9.048,8.969,0.6809999999999999,2891.4,19.628,9.971,45.605,49.968999999999994,46.641000000000005,42.25,81.327,18.416,1.208,3,100,0,130,1
191.0,166.67,10.617,0.0,9.008,8.936,0.6709999999999999,2887.6,20.121,9.988,46.082,50.41,47.074,42.648,81.367,18.212,1.216,3,100,0,130,1
190.94,166.99,11.055,0.0,8.981,8.904,0.6709999999999999,2888.6,20.479,9.92,46.434,50.836000000000006,47.512,43.043,81.222,18.421,1.245,3,100,0,130,1
190.98,167.12,11.242,0.0,8.951,8.88,0.675,2885.6,20.479,9.884,46.867,51.227,47.832,43.312,81.50399999999999,18.398,1.264,3,100,0,130,1
190.9,159.95,10.609000000000002,0.003,8.951,8.877,0.6659999999999999,2885.4,19.561,9.857000000000001,47.246,51.593999999999994,48.238,43.574,81.33,18.415,1.278,3,100,0,130,1
190.89,162.94,10.405999999999999,0.0,8.922,8.845,0.696,2885.8,19.757,9.834,47.531000000000006,51.945,48.586000000000006,43.98,81.847,18.577,1.304,3,100,0,130,1
190.9,166.52,10.969000000000001,0.0,8.913,8.839,0.688,2881.4,20.343,9.81,47.855,52.288999999999994,48.855,44.207,81.559,18.142,1.2819999999999998,3,100,0,130,1
190.8,157.73,10.727,0.0,8.871,8.801,0.715,2881.4,19.874000000000002,9.794,48.108999999999995,52.598,49.258,44.457,81.708,18.492,1.325,3,100,0,130,1
190.82,166.47,11.008,0.0,8.916,8.851,0.706,2875.6,20.479,9.769,48.453,52.848,49.516000000000005,44.621,81.57,18.265,1.317,3,100,0,130,1
190.89,160.49,10.992,0.0,8.898,8.825,0.7120000000000001,2869.4,19.801,9.708,48.625,53.09,49.75,44.805,81.855,18.426,1.3330000000000002,3,100,0,130,1
190.85,166.6,10.883,0.0,8.896,8.828,0.723,2867.4,20.479,9.686,48.879,53.309,50.004,44.965,81.893,18.429000000000002,1.3319999999999999,3,100,0,130,1
190.8,160.16,11.062000000000001,0.0,8.889,8.818,0.691,2865.4,19.905,9.666,49.043,53.483999999999995,50.25,45.145,82.10600000000001,18.486,1.3459999999999999,3,100,0,130,1
190.78,166.78,11.265999999999998,0.0,8.882,8.814,0.722,2867.8,20.479,9.662,49.293,53.687,50.418,45.316,81.508,18.664,1.367,3,100,0,130,1
