PS1,PS2,PS3,PS4,PS5,PS6,VS1,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,SE,CE,CP,Class
191.51,156.99,10.039,0.0,10.016,9.887,0.624,2951.6,18.71,10.446,36.152,41.25,38.613,33.594,79.568,47.438,2.188,1
191.47,157.56,9.992,0.0,9.745,9.637,0.626,2947.4,18.712,10.453,37.488,42.105,39.254,35.148,80.441,29.208,1.414,1
191.41,156.97,10.914,0.0,9.64,9.536,0.662,2939.8,18.698,10.443,38.621,43.039,40.062,36.141,80.824,23.554,1.159,1
191.34,156.44,10.297,0.0,9.535,9.431,0.645,2929.6,18.896,10.382,39.473,43.988,40.934,36.988,80.93,21.565,1.107,1
191.41,158.13,11.102,0.0,9.443,9.342,0.66,2923.8,18.876,10.312,40.391,44.887,41.777,37.781,81.1,20.46,1.106,1
191.28,156.55,11.453,0.0,9.381,9.287,0.643,2920.6,18.96,10.255999999999998,41.227,45.687,42.609,38.586,80.946,19.651,1.109,1
191.19,155.04,10.312,0.0,9.302,9.208,0.649,2921.6,19.208,10.2,42.062,46.457,43.203,39.242,80.848,19.415,1.11,1
191.17,159.09,10.398,0.0,9.26,9.172,0.669,2913.0,19.333,10.156,42.734,47.117,43.875,39.828,81.01,18.788,1.105,1
191.14,167.22,10.789,0.0,9.206,9.119,0.65,2909.4,19.577,10.098,43.41,47.789,44.457,40.402,81.186,19.081,1.168,1
191.16,162.14,10.758,0.0,9.173,9.087,0.653,2905.4,19.432,10.053,44.012,48.422,45.129,40.918,80.907,18.746,1.163,1
191.16,160.94,10.617,0.0,9.148,9.08,0.657,2905.4,19.415,10.029,44.582,48.984,45.668,41.33600000000001,80.73100000000002,18.665,1.18,1
191.06,164.73,10.617,0.0,9.087,9.009,0.662,2899.4,19.707,9.978,45.09,49.508,46.14100000000001,41.82,80.972,18.533,1.203,1
191.08,163.84,10.398,0.0,9.048,8.969,0.6809999999999999,2891.4,19.628,9.971,45.605,49.969,46.64100000000001,42.25,81.327,18.416,1.208,1
191.0,166.67,10.617,0.0,9.008,8.936,0.6709999999999999,2887.6,20.121,9.988,46.082,50.41,47.074,42.648,81.367,18.212,1.216,1
190.94,166.99,11.055,0.0,8.981,8.904,0.6709999999999999,2888.6,20.479,9.92,46.434,50.83600000000001,47.512,43.043,81.222,18.421,1.245,1
190.98,167.12,11.242,0.0,8.951,8.88,0.675,2885.6,20.479,9.884,46.867,51.227,47.832,43.312,81.50399999999998,18.398,1.264,1
190.9,159.95,10.609000000000002,0.003,8.951,8.877,0.6659999999999999,2885.4,19.561,9.857,47.246,51.594,48.238,43.574,81.33,18.415,1.278,1
190.89,162.94,10.406,0.0,8.922,8.845,0.696,2885.8,19.757,9.834,47.53100000000001,51.945,48.58600000000001,43.98,81.847,18.577,1.304,1
190.9,166.52,10.969,0.0,8.913,8.839,0.688,2881.4,20.343,9.81,47.855,52.289,48.855,44.207,81.559,18.142,1.2819999999999998,1
190.8,157.73,10.727,0.0,8.871,8.801,0.715,2881.4,19.874,9.794,48.109,52.598,49.258,44.457,81.708,18.492,1.325,1
190.82,166.47,11.008,0.0,8.916,8.851,0.706,2875.6,20.479,9.769,48.453,52.848,49.51600000000001,44.621,81.57,18.265,1.317,1
190.89,160.49,10.992,0.0,8.898,8.825,0.7120000000000001,2869.4,19.801,9.708,48.625,53.09,49.75,44.805,81.855,18.426,1.3330000000000002,1
190.85,166.6,10.883,0.0,8.896,8.828,0.723,2867.4,20.479,9.686,48.879,53.309,50.004,44.965,81.893,18.429,1.332,1
190.8,160.16,11.062,0.0,8.889,8.818,0.691,2865.4,19.905,9.666,49.043,53.484,50.25,45.145,82.10600000000002,18.486,1.346,1
190.78,166.78,11.265999999999998,0.0,8.882,8.814,0.722,2867.8,20.479,9.662,49.293,53.687,50.418,45.316,81.508,18.664,1.367,1
190.7,164.56,10.836,0.0,8.884,8.81,0.7140000000000001,2867.8,20.318,9.644,49.453,53.887,50.609,45.465,81.84,18.656,1.375,1
190.79,165.65,10.695,0.0,8.862,8.8,0.762,2863.8,20.479,9.632,49.629,54.117,50.762,45.547,81.898,18.711,1.38,1
190.76,166.47,10.890999999999998,0.0,8.861,8.79,0.723,2865.4,20.463,9.611,49.773,54.273,51.02,45.719,81.61,19.08,1.419,1
190.8,166.4,10.969,0.0,8.84,8.776,0.72,2861.6,20.479,9.606,50.012,54.418,51.215,45.887,81.682,18.747,1.401,1
190.69,166.27,10.672,0.0,8.84,8.771,0.726,2861.6,20.479,9.586,50.16,54.625,51.28100000000001,45.89100000000001,82.119,18.852,1.408,1
190.69,166.24,11.195,0.0,8.833,8.767000000000001,0.804,2863.8,20.46,9.568,50.223,54.691,51.434,45.98,81.95100000000002,19.129,1.44,1
190.72,165.95,10.695,0.0,8.825,8.755,0.7120000000000001,2861.4,20.253,9.582,50.383,54.809,51.64100000000001,46.191,82.523,19.137,1.433,1
190.63,166.38,11.117,0.0,8.827,8.756,0.7340000000000001,2861.6,20.479,9.569,50.473,54.937,51.77,46.18,82.179,19.409,1.465,1
190.58,166.38,10.695,0.0,8.82,8.755,0.752,2857.6,20.479,9.548,50.578,55.102,51.828,46.363,81.876,19.529,1.474,1
190.7,166.49,10.937,0.0,8.807,8.743,0.965,2861.4,20.479,9.539,50.703,55.223,52.043,46.48,82.005,19.204,1.449,1
190.58,166.31,10.640999999999998,0.0,8.806000000000003,8.741,0.841,2855.6,20.479,9.525,50.797,55.305,52.051,46.46100000000001,82.355,19.459,1.467,1
190.56,164.99,10.75,0.0,8.809,8.738999999999999,0.8079999999999999,2855.6,20.423,9.512,50.879,55.449,52.219,46.625,81.873,19.453,1.467,1
190.56,166.22,11.031,0.0,8.806000000000003,8.747,0.826,2856.6,20.479,9.514,51.008,55.477,52.293,46.633,81.939,19.196,1.461,1
190.56,166.26,10.445,0.0,8.801,8.738999999999999,0.897,2859.4,20.479,9.494,51.023,55.52,52.473,46.723,81.934,19.422,1.4880000000000002,1
190.6,166.5,11.086,0.0,8.795,8.735,0.7340000000000001,2861.6,20.479,9.494,51.129,55.645,52.473,46.699,82.223,19.713,1.503,1
190.93,166.29,10.836,0.0,8.805,8.737,0.7809999999999999,2859.8,20.479,9.501,51.223,55.723,52.469,46.707,81.67699999999998,20.074,1.534,1
190.59,166.44,11.133,0.0,8.787,8.729,0.733,2859.8,20.479,9.485,51.301,55.773,52.672,46.867,82.086,19.593,1.508,1
190.59,164.18,10.922,0.0,8.795,8.724,0.75,2859.8,20.347,9.47,51.395,55.89100000000001,52.684,46.937,81.98,19.673,1.515,1
190.6,166.38,11.062,0.0,8.787,8.727,0.908,2861.0,20.479,9.477,51.398,55.941,52.785,46.879,81.745,19.702,1.517,1
190.55,166.18,11.078,0.0,8.783,8.722000000000001,0.846,2857.8,20.479,9.466,51.477,55.977,52.867,47.043,82.035,19.645,1.519,1
190.55,166.27,10.992,0.0,8.78,8.715,0.8390000000000001,2853.6,20.479,9.461,51.484,56.047,52.875,47.117,81.9,19.816,1.529,1
190.58,166.21,10.812,0.0,8.786,8.717,0.875,2861.0,20.479,9.45,51.566,56.14100000000001,52.969,47.105,82.118,19.852,1.5319999999999998,1
190.56,166.41,10.977,0.0,8.777000000000001,8.714,0.777,2862.2,20.479,9.466,51.65600000000001,56.215,53.051,47.094,82.102,20.2,1.567,1
190.55,166.3,11.023,0.0,8.771,8.712,0.747,2853.4,20.479,9.445,51.727,56.234,53.098,47.117,82.10700000000001,20.304,1.57,1
190.78,166.21,11.133,0.0,8.76,8.71,0.746,2855.6,20.479,9.449,51.742,56.289,53.078,47.121,82.273,20.013,1.551,1
190.56,166.28,10.859000000000002,0.0,8.758,8.705,0.7559999999999999,2855.8,20.479,9.435,51.809,56.379,53.117,47.066,82.476,20.153,1.5590000000000002,1
190.63,166.23,11.047,0.0,8.752,8.696,1.028,2851.4,20.479,9.425,51.898,56.398,53.285,47.332,81.89,20.053,1.5490000000000002,1
190.58,166.39,11.008,0.0,8.762,8.696,0.74,2853.4,20.479,9.446,51.926,56.484,53.297,47.289,82.09700000000002,20.126,1.5590000000000002,1
190.54,166.37,11.031,0.0,8.752,8.696,0.873,2851.8,20.479,9.431,51.898,56.488,53.293,47.207,81.82600000000002,20.427,1.582,1
190.5,166.34,11.031,0.0,8.753,8.693999999999999,0.995,2851.8,20.479,9.426,51.969,56.551,53.348,47.26600000000001,82.465,20.314,1.578,1
190.56,166.44,11.140999999999998,0.0,8.75,8.693999999999999,0.7929999999999999,2855.8,20.479,9.416,52.059,56.578,53.375,47.453,82.275,19.956,1.544,1
190.54,166.26,10.953,0.0,8.749,8.693,0.805,2851.6,20.479,9.408,52.051,56.602,53.46100000000001,47.512,82.111,19.927,1.541,1
190.55,166.31,10.969,0.0,8.743,8.685,0.777,2849.6,20.479,9.406,52.059,56.672,53.48,47.46100000000001,82.179,20.306,1.571,1
190.55,166.2,11.047,0.0,8.748,8.687000000000001,0.753,2849.6,20.479,9.415,52.14100000000001,56.746,53.48,47.293,81.932,20.664,1.611,1
190.58,166.4,11.633,0.0,8.75,8.701,0.8909999999999999,2853.0,20.479,9.425,52.148,56.754,53.535,47.46100000000001,82.02600000000002,20.138,1.565,1
190.55,166.27,10.992,0.0,8.748,8.684,0.76,2849.6,20.479,9.403,52.219,56.758,53.512,47.523,82.428,20.125,1.571,1
190.84,166.23,11.406,0.0,8.747,8.681000000000001,0.78,2848.6,20.479,9.398,52.223,56.797,53.543,47.371,82.281,20.682,1.6030000000000002,1
